Time,GDP,CPI,TBIL_3m,TermSpread_10yr,BAA_Spread,SPCS_HPI,USS_THPI,EARNING,GVT_10YR,MORT_30YR,REAL_EST_LOAN
1,3121.936,28.9933,2.7733,1.22,0.88,,,51.207,3.99,,150.4651
2,3192.38,29.0433,3,1.26,0.6967,,,51.547,4.2567,,154.495
3,3194.653,29.1933,3.54,0.96,0.6133,,,51.583,4.5033,,157.1628
4,3203.759,29.37,4.23,0.35,0.69,,,51.767,4.5833,,159.6373
5,3275.757,29.3967,3.8733,0.61,0.8233,,,52.822,4.4867,,162.0457
6,3258.088,29.5733,2.9933,1.27,0.9867,,,52.852,4.26,,162.0995
7,3274.029,29.59,2.36,1.47,1.27,,,53.141,3.8333,,161.6727
8,3232.009,29.78,2.3067,1.58,1.21,,,53.033,3.8867,,162.189
9,3253.826,29.84,2.35,1.44,1.2767,,,53.392,3.7867,,163.2594
10,3309.059,29.83,2.3033,1.49,1.2267,,,54.155,3.79,,164.1585
11,3372.581,29.9467,2.3033,1.68,1.1267,,,54.348,3.98,,166.0516
12,3438.721,29.99,2.46,1.51,1.14,,,54.662,3.9733,,167.6791
13,3500.054,30.1067,2.7233,1.29,1.0467,,,55.318,4.0167,,170.9093
14,3531.683,30.22,2.7167,1.16,1.14,,,55.479,3.8733,,175.2681
15,3575.07,30.3067,2.84,1.15,1.0567,,,55.711,3.99,,180.5787
16,3586.827,30.38,2.8133,1.09,1.0533,,,56.082,3.9033,,186.0875
17,3625.981,30.4767,2.9067,0.99,1,,,56.462,3.8933,,191.5312
18,3666.669,30.5333,2.94,1.02,0.89,,,56.642,3.9633,,197.6317
19,3747.278,30.72,3.2933,0.74,0.8033,,,56.874,4.0333,,205.0111
20,3771.845,30.8033,3.4967,0.62,0.72,,,57.368,4.12,,209.9099
21,3851.366,30.93,3.53,0.65,0.65,,,57.047,4.18,,215.6389
22,3893.296,30.98,3.4767,0.72,0.65,,,57.587,4.2,,220.5862
23,3954.121,31.05,3.4967,0.7,0.63,,,58.213,4.1933,,225.7744
24,3966.335,31.1933,3.6833,0.49,0.6367,,,58.371,4.1733,,231.0357
25,4062.311,31.29,3.89,0.31,0.5833,,,58.426,4.2033,,236.5989
26,4113.629,31.49,3.8733,0.33,0.6133,,,58.445,4.2067,,242.9127
27,4205.086,31.5833,3.8667,0.38,0.6433,,,58.883,4.2467,,249.8055
28,4301.973,31.75,4.1667,0.31,0.4933,,,59.439,4.4733,,256.786
29,4406.693,32.0467,4.61,0.16,0.3967,,,59.909,4.77,,263.6407
30,4421.747,32.3367,4.5867,0.19,0.71,,,60.315,4.78,,268.7439
31,4459.195,32.6167,5.0433,0.1,0.7267,,,60.653,5.14,,272.2542
32,4495.777,32.8833,5.21,-0.21,1.1333,,,60.972,5.0033,,274.6625
33,4535.591,32.9667,4.5133,0.07,1.2967,,,61.643,4.5833,,277.221
34,4538.37,33.1667,3.66,1.16,1.16,,,62.268,4.82,,279.529
